variant,overall_acc,macro_f1,latency_ms,notes
CNN-small + CLAHE,62.61,62.07,1.28,"48x48, Adam 1e-3, CLAHE clip=2.0"
ResNet18 @160 + EMA,64.64,62.84,12.61,EMA=0.8; ImageNet norm
